date,startup,industry,subvertical,city,investors,investment_type,amount
10-05-2016,innonano research,technology,Clean Water Technology,Chennai,NanoHoldings,Private Equity,18000000
10-05-2016,schoolwear,ecommerce,School Uniform & Supplies Marketplace,Mumbai,Undisclosed investors,Seed Funding,1500000
10-05-2016,swiggy,consumer internet,Food Delivery Platform,Bengaluru,Norwest Venture Partners,Private Equity,7000000
11-05-2016,zenify,consumer internet,Home rental Discovery & Booking Portal,Bengaluru,Undisclosed Investors,Private Equity,900000
11-05-2016,fractal analytics,technology,Data Analytics Company,Mumbai,Khazanah Nasional Berhad,Private Equity,100000000
12-05-2016,unaacademy,consumer internet,Free Online Education Platform,Bengaluru,Blume Ventures,Seed Funding,500000
12-05-2016,capital float,consumer internet,Online Lending Platform,Bengaluru,Creation Investments Capital Management,Private Equity,25000000
12-05-2016,life circle,healthcare,Senior Healthcare Services,Hyderabad,GROUPE SOS,Private Equity,150000
13-05-2016,stayzilla,consumer internet,Budget Room Aggregator Booking platform,Chennai,Matrix Partners,Private Equity,13500000
13-05-2016,wow express,logistics,E-Commerce Logistics Solutions,Mumbai,Undisclosed Investors & Tamarind Family Private Trust,Private Equity,2200000
16-05-2016,smartivity,ecommerce,Smart Learning products,New Delhi,S Chand,Private Equity,1000000
18-05-2016,thesmartq,consumer internet,Food Ordering Mobile App,Bengaluru,YourNest Angel Fund,Seed Funding,250000
18-05-2016,purplehealth,consumer internet,Online health-on-demand platform,Trivandrum,Katabole Technology Venture,Seed Funding,100000
18-05-2016,edupristine,education,Online Certification Courses,Mumbai,Kaizen Management Advisors,Private Equity,10000000
18-05-2016,bhive workspace,reality,Co-Working Spaces,Bengaluru,Blume Ventures,Private Equity,1000000
19-05-2016,appie,consumer internet,Location-based offline retail discovery platform,Mumbai,Undisclosed investors,Seed Funding,1000000
19-05-2016,taxivaxi,consumer internet,Cab Aggregating Platform,New Delhi,Undisclosed HNIs,Seed Funding,500000
19-05-2016,veqta,consumer internet,On Demand Digital Sports Network,New Delhi,Chatsworth Management,Seed Funding,500000
20-05-2016,i2ifunding,consumer internet,Online Peer to Peer Funding,Noida,Undisclosed Investors,Seed Funding,300000
23-05-2016,hoppingo,consumer internet,Fashion Discovery platform,New Delhi,vCommission,Seed Funding,89000
24-05-2016,goalwise,consumer internet,Online investment platform,Bengaluru,Undisclosed HNIs,Seed Funding,1000000
25-05-2016,address health,healthcare,Pediatric Primary Healthcare Network,Bengaluru,Gray Matters Capital,Private Equity,1500000
25-05-2016,arcatron mobility,technology,Mobility Devices for differently abled,Pune,Sudhir Mehta,Seed Funding,100000
26-05-2016,cleartax,consumer internet,Online Income Tax Filing platform,Bengaluru,FF Angel,Private Equity,2000000
26-05-2016,mchamp,consumer internet,Celebrity Entertainment Contest App,New Delhi,MoMagic Technologies,Seed Funding,475000
30-05-2016,vahanalytics,technology,Safe driving Analytics platform,Mumbai,Anirudh Damani,Seed Funding,200000
31-05-2016,koovs,ecommerce,Apparel & Lifestyle eTailer,New Delhi,HT Media Ltd,Private Equity,4400000
31-05-2016,ccavenue,consumer internet,Payment Gateway,Mumbai,NSI Infinium Global Pvt. Ltd,Private Equity,8900000
31-05-2016,machadalo,consumer internet,Hyperlocal Advertising Platform,Mumbai,Undisclosed Investors,Seed Funding,175000
01-04-2016,dil mil,consumer internet,Matchmaking Mobile App,San Francisco,Nelstone Ventures,Private Equity,2700000
04-04-2016,hungama,consumer internet,Digital Media Entertainment Portal,Mumbai,Xiaomi Inc,Private Equity,25000000
06-04-2016,shipsy,logistics,Logistics Solutions,Gurugram,DTDC Express Ltd,Private Equity,1000000
06-04-2016,gear6,consumer internet,Online bike service and repairs platform,Bengaluru,Ninestarter,Seed Funding,500000
06-04-2016,myglamm,consumer internet,Mobile based on-demand Beauty Services platform,Mumbai,L'Occitane,Private Equity,6000000
06-04-2016,petoo,consumer internet,Online Food Delivery Platform,Bengaluru,Axilor Ventures,Private Equity,1000000
08-04-2016,imedilane,consumer internet,Online Health Diagnosis platform,New Delhi,Mahendra Patel,Seed Funding,40000
11-04-2016,living local,consumer internet,Social discovery platform,Mumbai,Rattan Chadha,Seed Funding,200000
11-04-2016,oyo,consumer internet,Online Branded Budget Room Booking Service,New Delhi,Softbank,Private Equity,100000000
11-04-2016,priceraja,consumer internet,Price Comparison Portal,Gurugram,Prashant Puri,Seed Funding,300000
12-04-2016,magicx,consumer internet,On-Demand Task Management App,Bengaluru,Kris Gopalakrishnan,Seed Funding,1000000
13-04-2016,legal raasta,consumer internet,Online legal Services for Startups,New Delhi,Pravin Khandelwal,Seed Funding,1000000
13-04-2016,raan,consumer internet,Subscription-based grocery delivery Mobile App,Pune,Dr. Aniruddha Malpani,Seed Funding,150000
13-04-2016,hippily,ecommerce,Fashion ECommerce App,Mumbai,Dr. Sridhar Ramaswamy,Seed Funding,250000
13-04-2016,kredx,ecommerce,Invoice discounting Marketplace,Bengaluru,Prime Venture Partners,Seed Funding,750000
14-04-2016,beaconstalk,technology,contextual mobile advertising,Mumbai,Rajeev Agrawal,Seed Funding,100000
